Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783610649,10,,Aggregated,0.500000,0.000000,98,5300,7800,8700,14000,19000,21000,21000,21000,21000,21000,31,0,98,4310.032861290364,9.201400040183216,20734.47560000932,2003.1612903225807
1783610650,10,,Aggregated,0.600000,0.000000,98,5300,7800,8700,14000,19000,21000,21000,21000,21000,21000,32,0,75,4175.59119062571,7.899400021415204,20734.47560000932,1943.40625
1783610651,10,,Aggregated,0.600000,0.000000,98,5300,7800,11000,14000,21000,24000,24000,24000,24000,24000,33,0,98,4767.473078789683,7.899400021415204,23707.69350003684,2001.2727272727273
1783610652,10,,Aggregated,0.600000,0.000000,98,5300,7800,11000,14000,21000,24000,24000,24000,24000,24000,33,0,98,4767.473078789683,7.899400021415204,23707.69350003684,2001.2727272727273
1783610653,10,,Aggregated,0.500000,0.000000,98,5300,7800,11000,14000,21000,24000,24000,24000,24000,24000,34,0,75,4627.54376176642,7.899400021415204,23707.69350003684,1996.6470588235295
1783610654,10,,Aggregated,0.700000,0.000000,98,5700,8700,14000,19000,23000,24000,24000,24000,24000,24000,35,0,98,5148.022305715962,7.899400021415204,23707.69350003684,2068.2
1783610655,10,,Aggregated,0.600000,0.000000,100,5700,11000,14000,21000,23000,24000,24000,24000,24000,24000,36,0,98,5643.628961112376,7.899400021415204,23707.69350003684,2124.25
1783610656,10,,Aggregated,0.800000,0.000000,98,5700,8700,14000,21000,23000,24000,24000,24000,24000,24000,37,0,98,5491.4565513530315,7.899400021415204,23707.69350003684,2276.945945945946
1783610657,10,,Aggregated,0.800000,0.000000,98,5700,8700,14000,21000,23000,24000,24000,24000,24000,24000,37,0,98,5491.4565513530315,7.899400021415204,23707.69350003684,2276.945945945946
1783610658,10,,Aggregated,0.800000,0.000000,98,5700,8700,14000,21000,23000,24000,24000,24000,24000,24000,37,0,98,5491.4565513530315,7.899400021415204,23707.69350003684,2276.945945945946
1783610659,10,,Aggregated,0.800000,0.000000,98,5700,8700,14000,21000,23000,24000,24000,24000,24000,24000,37,0,98,5491.4565513530315,7.899400021415204,23707.69350003684,2276.945945945946
1783610660,10,,Aggregated,0.800000,0.000000,100,7700,11000,14000,22000,23000,24000,24000,24000,24000,24000,38,0,98,5915.36200789606,7.899400021415204,23707.69350003684,2334.3684210526317
1783610661,10,,Aggregated,0.800000,0.000000,100,7700,11000,14000,22000,23000,24000,24000,24000,24000,24000,38,0,98,5915.36200789606,7.899400021415204,23707.69350003684,2334.3684210526317
1783610662,10,,Aggregated,0.800000,0.000000,100,7700,11000,14000,22000,23000,24000,24000,24000,24000,24000,38,0,98,5915.36200789606,7.899400021415204,23707.69350003684,2334.3684210526317
1783610663,10,,Aggregated,0.800000,0.000000,100,7700,11000,14000,22000,23000,24000,24000,24000,24000,24000,38,0,98,5915.36200789606,7.899400021415204,23707.69350003684,2334.3684210526317
1783610664,10,,Aggregated,0.500000,0.000000,100,7700,14000,14000,23000,24000,30000,30000,30000,30000,30000,39,0,100.0,6524.356610256617,7.899400021415204,29666.151499957778,2385.5897435897436
1783610665,10,,Aggregated,0.500000,0.000000,100,7700,14000,14000,23000,24000,30000,30000,30000,30000,30000,39,0,100.0,6524.356610256617,7.899400021415204,29666.151499957778,2385.5897435897436
1783610666,10,,Aggregated,0.500000,0.000000,100,7700,14000,14000,23000,24000,30000,30000,30000,30000,30000,39,0,100.0,6524.356610256617,7.899400021415204,29666.151499957778,2385.5897435897436
1783610667,10,,Aggregated,0.400000,0.000000,150,7800,14000,19000,23000,27000,30000,30000,30000,30000,30000,40,0,100.0,7041.008722499828,7.899400021415204,29666.151499957778,2433.175
1783610668,10,,Aggregated,0.400000,0.000000,150,7800,14000,19000,23000,27000,30000,30000,30000,30000,30000,40,0,100.0,7041.008722499828,7.899400021415204,29666.151499957778,2433.175
1783610669,10,,Aggregated,0.400000,0.000000,150,7800,14000,19000,23000,27000,30000,30000,30000,30000,30000,40,0,100.0,7041.008722499828,7.899400021415204,29666.151499957778,2433.175
1783610670,10,,Aggregated,0.300000,0.000000,150,8700,14000,19000,23000,24000,30000,30000,30000,30000,30000,41,0,150.0,7419.513351220081,7.899400021415204,29666.151499957778,2453.3414634146343
1783610671,10,,Aggregated,0.300000,0.000000,150,8700,14000,19000,23000,24000,30000,30000,30000,30000,30000,41,0,150.0,7419.513351220081,7.899400021415204,29666.151499957778,2453.3414634146343
1783610672,10,,Aggregated,0.300000,0.000000,150,8700,14000,19000,23000,24000,30000,30000,30000,30000,30000,41,0,150.0,7419.513351220081,7.899400021415204,29666.151499957778,2453.3414634146343
1783610673,10,,Aggregated,0.300000,0.000000,200,8700,14000,21000,23000,27000,30000,30000,30000,30000,30000,42,0,150.0,7926.189299999914,7.899400021415204,29666.151499957778,2486.5238095238096
1783610674,10,,Aggregated,0.300000,0.000000,200,8700,14000,21000,23000,27000,30000,30000,30000,30000,30000,42,0,150.0,7926.189299999914,7.899400021415204,29666.151499957778,2486.5238095238096
1783610675,10,,Aggregated,0.300000,0.000000,200,11000,19000,22000,23000,27000,30000,30000,30000,30000,30000,43,0,200.0,8286.775727906579,7.899400021415204,29666.151499957778,2521.8372093023254
1783610676,10,,Aggregated,0.300000,0.000000,200,11000,19000,22000,23000,27000,30000,30000,30000,30000,30000,43,0,200.0,8286.775727906579,7.899400021415204,29666.151499957778,2521.8372093023254
1783610677,10,,Aggregated,0.300000,0.000000,4000,14000,21000,23000,24000,27000,30000,30000,30000,30000,30000,44,0,200.0,8638.202374999475,7.899400021415204,29666.151499957778,2551.0
1783610678,10,,Aggregated,0.400000,0.000000,4000,14000,21000,23000,24000,27000,30000,30000,30000,30000,30000,45,0,4000.0,8952.399868888057,7.899400021415204,29666.151499957778,2580.8888888888887
1783610679,10,,Aggregated,0.400000,0.000000,4000,14000,21000,23000,24000,27000,30000,30000,30000,30000,30000,45,0,4000.0,8952.399868888057,7.899400021415204,29666.151499957778,2580.8888888888887
1783610680,10,,Aggregated,0.400000,0.000000,4000,14000,21000,23000,24000,27000,30000,30000,30000,30000,30000,45,0,4000.0,8952.399868888057,7.899400021415204,29666.151499957778,2580.8888888888887
1783610681,10,,Aggregated,0.400000,0.000000,5300,14000,22000,23000,24000,27000,30000,30000,30000,30000,30000,46,0,4000.0,9255.418076086284,7.899400021415204,29666.151499957778,2610.7391304347825
1783610682,10,,Aggregated,0.400000,0.000000,5300,14000,22000,23000,24000,27000,30000,30000,30000,30000,30000,46,0,4000.0,9255.418076086284,7.899400021415204,29666.151499957778,2610.7391304347825
1783610683,10,,Aggregated,0.400000,0.000000,5300,14000,23000,23000,24000,28000,30000,30000,30000,30000,30000,47,0,5300.0,9644.082585105702,7.899400021415204,29666.151499957778,2647.808510638298
1783610684,10,,Aggregated,0.400000,0.000000,5300,14000,23000,23000,24000,28000,30000,30000,30000,30000,30000,47,0,5300.0,9644.082585105702,7.899400021415204,29666.151499957778,2647.808510638298
1783610685,10,,Aggregated,0.400000,0.000000,5300,14000,23000,23000,24000,28000,30000,30000,30000,30000,30000,47,0,5300.0,9644.082585105702,7.899400021415204,29666.151499957778,2647.808510638298
1783610686,10,,Aggregated,0.600000,0.000000,5700,14000,23000,23000,24000,28000,30000,30000,30000,30000,30000,48,0,5300.0,9919.982741665686,7.899400021415204,29666.151499957778,2685.7916666666665
1783610687,10,,Aggregated,0.600000,0.000000,5700,14000,23000,23000,24000,28000,30000,30000,30000,30000,30000,48,0,5300.0,9919.982741665686,7.899400021415204,29666.151499957778,2685.7916666666665
1783610688,10,,Aggregated,0.400000,0.000000,5700,19000,23000,23000,24000,28000,30000,30000,30000,30000,30000,49,0,5700.0,10113.014638774353,7.899400021415204,29666.151499957778,2687.3673469387754
